name,PARAMS,MAC_3MB,MS_3MBV100
vg0,+0 (740K),780G,162
vg1,+50K,830G,143
vg2,+260K,890G,152
vg3,+1.2M,950G,158
vg4,+6M,1090G,169
vg5,+15M,1180G,177
